CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT)
3.4,1124,-200,19.7,1289,265,765,153
3.4,1111,-200,18.6,1256,261,765,158
2.9,1062,-200,16.1,1183,219,794,140
2.7,1072,-200,15,1148,180,805,127
1.3,936,-200,7.3,871,108,990,97
1.3,988,-200,8.9,937,98,894,91
0.9,924,-200,6.6,839,57,957,68
0.6,839,-200,4.3,725,36,1052,52
0.5,826,-200,3.2,666,-200,1109,55
0.5,853,-200,4.1,716,45,1047,58
0.9,918,-200,6,810,87,936,78
0.7,890,-200,5.6,791,62,950,61
0.6,865,-200,4.8,752,65,996,64
1.3,1003,-200,8.9,937,125,850,81
1.9,1123,-200,13.1,1088,157,746,92
2.1,1146,-200,14.1,1119,171,746,101
1.8,1110,-200,11.2,1021,119,820,96
1.8,1126,-200,10,979,110,849,101
1.6,1067,-200,9.6,962,95,860,91
1.2,1008,-200,7.2,866,58,937,68
1.2,1062,-200,8.6,924,69,892,76
1.4,1082,-200,9,939,76,869,84
1.3,1042,-200,7.9,897,63,901,76
1.1,1022,-200,6.2,823,51,964,61
1.1,1024,-200,6.3,828,46,936,52
1.1,1048,-200,6.3,828,52,922,59
1.8,1153,-200,11.2,1022,84,765,89
2.3,1195,-200,12.8,1077,130,731,113
2.6,1245,-200,13.2,1091,147,734,112
2,1086,-200,9.2,946,126,847,89
1,972,-200,5.8,804,47,955,53
0.6,880,-200,3.4,677,24,1109,36
0.6,906,-200,4.1,719,-200,1050,37.5
0.5,879,-200,3.1,658,25,1121,39
0.4,842,-200,2.2,597,21,1237,33
0.4,797,-200,1.5,543,25,1466,37
0.4,796,-200,1.3,526,25,1534,36
0.4,767,-200,1.2,520,30,1526,42
0.5,784,-200,1.7,562,42,1460,52
0.6,811,-200,2.5,622,52,1315,60
0.7,838,-200,2.5,620,62,1292,74
0.7,821,-200,2.7,632,67,1295,65
0.6,793,-200,1.9,579,47,1380,52
0.5,794,-200,1.8,567,35,1426,40
0.6,821,-200,2.4,614,45,1309,49
0.8,849,-200,2.6,628,53,1274,56
0.8,852,-200,3,651,57,1246,59
1,847,-200,2.9,645,71,1245,68
1,849,-200,3.5,682,67,1215,72
1,865,-200,3.6,687,75,1191,78
0.9,848,-200,3.6,689,65,1180,71
0.7,807,-200,2.3,606,45,1340,54
0.8,814,-200,2.6,627,46,1305,57
0.7,785,-200,2,582,33,1377,45
0.5,748,-200,1.2,515,19,1580,30
0.3,716,-200,0.7,461,9,1795,16
0.3,708,-200,0.5,437,-200,1941,17
-200,724,-200,0.5,448,12,1917,18
0.3,748,-200,0.8,477,21,1703,28
0.7,888,-200,3.5,683,66,1196,62
1.5,973,-200,7,858,137,941,92
1.8,993,-200,8.7,927,151,886,96
1.4,929,-200,6.3,825,115,992,87
1.5,962,-200,7,858,118,941,84
1.2,906,-200,5.5,786,95,1026,73
1.2,915,-200,5.3,776,86,1029,72
1.3,928,-200,5.5,787,85,1012,68
1,855,-200,3.8,698,66,1134,62
1.4,920,-200,5.4,783,74,1046,70
1.6,917,-200,6.7,842,108,985,83
2.7,1072,-200,12.2,1057,150,812,92
2.3,1000,-200,10.2,985,157,846,103
1.5,914,-200,6.7,845,93,972,82
1.4,888,-200,5.7,799,76,1023,74
1,851,-200,4.1,718,57,1134,67
1.1,870,-200,4.7,749,64,1096,74
1.2,883,-200,5.2,773,59,1062,72
1.2,886,-200,5.1,767,68,1055,79
0.7,792,-200,2.8,637,31,1249,43
0.5,754,-200,1.4,535,21,1490,33
0.4,732,-200,1,503,-200,1525,35.5
0.4,770,-200,2,586,24,1326,38
0.5,797,-200,3,654,38,1097,51
1,915,-200,7.5,877,92,897,69
4.4,1287,-200,24.7,1423,311,610,116
4,1195,-200,24.8,1424,260,609,119
2.4,1003,-200,10.9,1009,181,823,96
2.1,1037,-200,11.9,1046,177,838,109
2.7,1114,-200,16,1181,180,747,115
2.8,1085,-200,15.7,1171,174,767,118
2.3,1024,-200,13.1,1087,140,824,118
2,1017,-200,12.2,1057,122,859,112
2.6,1053,-200,15.8,1173,189,785,140
2.7,1065,-200,16.6,1198,169,766,137
3.1,1136,-200,18.4,1250,172,722,143
3.1,1100,-200,16.7,1202,154,732,148
3.6,1143,-200,20.8,1319,192,673,158
2.9,1083,-200,15.3,1157,160,742,127
2.2,1009,-200,11.5,1034,110,806,109
2,969,-200,10.1,983,97,853,101
2.1,1029,-200,10.4,993,124,816,114
1.9,1064,-200,9.4,956,108,812,104
1.4,986,-200,6.9,853,61,865,81
0.8,872,-200,4,709,34,1034,51
0.6,840,-200,3,654,-200,1124,45.5
0.6,812,-200,2.6,626,24,1134,40
0.5,810,-200,2.4,612,27,1163,34
1,936,-200,6.8,849,70,882,61
2.7,1244,-200,18.9,1265,176,640,95
5,1440,-200,30.2,1556,310,517,142
3.3,1180,-200,14.9,1145,221,713,128
2.4,1126,-200,12.2,1058,168,765,115
1.7,1005,-200,8.3,910,109,881,84
1.7,1032,-200,9,940,102,862,85
2.4,1087,-200,13.7,1106,129,755,110
2.2,1090,-200,14.1,1119,117,756,107
2.2,1072,-200,12,1050,112,802,107
2.3,1101,-200,12.2,1057,122,797,113
2.6,1111,-200,13.1,1086,114,787,107
2.3,1048,-200,12.6,1070,111,807,106
3.3,1197,-200,18.3,1249,158,698,125
3.5,1173,-200,17.2,1217,202,695,139
2.5,1075,-200,12.9,1079,166,764,117
2.5,1067,-200,13.7,1106,143,745,107
2.4,1060,-200,13.4,1099,122,742,98
2.5,1081,-200,13.5,1099,113,749,97
2.1,1017,-200,9.9,975,109,822,95
1,836,-200,4.4,734,53,1035,68
0.8,831,-200,4.3,727,-200,1038,59.5
-200,804,-200,3.3,668,32,1102,51
0.5,798,-200,3.4,677,35,1092,44
1.3,966,-200,9.3,951,123,812,77
3.6,1277,-200,23.4,1388,254,611,100
4.8,1335,-200,27.7,1496,300,562,125
3.7,1297,-200,22.1,1353,281,588,154
1.9,1041,-200,10,979,169,837,125
1.7,1027,-200,8.9,936,152,867,117
1.9,1037,-200,9.8,969,127,841,105
1.8,1014,-200,9.4,954,118,865,103
1.7,1007,-200,9.8,971,120,866,106
1.8,998,-200,9.5,958,125,881,107
1.7,1014,-200,9.5,958,117,878,102
2.8,1157,-200,15.4,1160,166,738,124
3.6,1225,-200,19.4,1281,180,683,133
3.3,1131,-200,16.5,1194,172,726,125
2.9,1111,-200,14.3,1126,160,754,124
1.7,976,-200,8.2,909,103,878,97
1.7,1016,-200,8.7,929,87,868,94
2.8,1177,-200,15.2,1156,147,684,120
1.8,1013,-200,10.6,999,120,791,105
1,886,-200,6,813,63,936,81
0.5,791,-200,3.1,658,30,1140,43
0.4,762,-200,2.5,618,-200,1214,37.5
0.3,740,-200,1.8,568,19,1259,32
0.4,775,-200,2.6,628,27,1178,36
0.8,872,-200,6.5,833,65,947,59
2.2,1123,-200,14.5,1134,169,711,92
4.4,1306,-200,28.8,1522,244,535,121
3.7,1237,-200,21.3,1332,274,605,151
2.5,1143,-200,14.9,1146,202,701,142
2.5,1170,-200,15.6,1168,186,703,141
2.3,1116,-200,14.3,1128,153,739,129
2,1054,-200,12.6,1069,112,785,106
2,1083,-200,13.4,1097,117,765,125
2.1,1078,-200,12.6,1069,109,782,126
2.4,1104,-200,14.8,1143,133,747,147
3.1,1170,-200,18.6,1257,185,693,180
2.9,1091,-200,16.7,1201,167,738,164
3.5,1216,-200,20.8,1318,218,673,180
2.9,1125,-200,16,1179,171,719,153
1.5,971,-200,7.6,881,78,916,105
1.7,1062,-200,10.2,984,84,816,98
2.2,1140,-200,13.8,1109,110,714,107
1.6,1038,-200,10.4,992,87,802,87
1,935,-200,6.5,836,58,909,80
0.6,861,-200,4.3,729,39,1043,62
0.6,839,-200,3.4,678,-200,1062,58
0.6,850,-200,3.9,703,38,1021,54
0.5,817,-200,3,651,41,1109,56
0.5,825,-200,3.2,667,47,1079,62
0.9,921,-200,5.6,792,72,943,72
1.4,1031,-200,9.1,945,100,806,86
1.6,1092,-200,9.7,967,104,801,99
1.6,1095,-200,8.6,923,109,843,98
1.7,1097,-200,9.6,964,103,822,102
1.7,1101,-200,9.8,972,75,819,84
1.5,1060,-200,10.3,991,72,833,83
1.2,-200,-200,-200,-200,56,-200,68
1.2,-200,-200,-200,-200,51,-200,63
1.1,-200,-200,-200,-200,52,-200,65
1,-200,-200,-200,-200,46,-200,63
1.1,-200,-200,-200,-200,44,-200,56
1.6,-200,-200,-200,-200,72,-200,77
1.7,-200,-200,-200,-200,88,-200,91
1.4,-200,-200,-200,-200,56,-200,70
1.7,-200,-200,-200,-200,82,-200,95
2.4,-200,-200,-200,-200,125,-200,113
2.3,-200,-200,-200,-200,144,-200,109
1.2,-200,-200,-200,-200,54,-200,65
1,-200,-200,-200,-200,48,-200,60
1.4,-200,-200,-200,-200,-200,-200,61
-200,-200,-200,-200,-200,41,-200,62
1,-200,-200,-200,-200,40,-200,60
0.9,-200,-200,-200,-200,48,-200,65
0.8,-200,-200,-200,-200,44,-200,55
1,-200,-200,-200,-200,59,-200,66
1.2,-200,-200,-200,-200,59,-200,67
1.2,-200,-200,-200,-200,53,-200,64
1,-200,-200,-200,-200,42,-200,59
1,-200,-200,-200,-200,43,-200,59
0.6,-200,-200,-200,-200,23,-200,36
0.7,-200,-200,-200,-200,22,-200,35
0.8,-200,-200,-200,-200,37,-200,54
1.1,-200,-200,-200,-200,53,-200,71
1.4,-200,-200,-200,-200,68,-200,86
2.8,-200,-200,-200,-200,125,-200,114
2.5,-200,-200,-200,-200,96,-200,105
1.6,-200,-200,-200,-200,75,-200,87
1.4,-200,-200,-200,-200,74,-200,85
2.3,-200,-200,-200,-200,92,-200,91
4.2,-200,-200,-200,-200,136,-200,108
3,-200,-200,-200,-200,119,-200,99
2.2,-200,-200,-200,-200,76,-200,83
0.6,-200,-200,-200,-200,21,-200,36
0.3,-200,-200,-200,-200,-200,-200,30
0.3,732,-200,1.5,544,15,1353,24
0.5,809,-200,3.5,681,52,1108,43
1.3,934,-200,8.3,911,85,857,64
2.5,1132,-200,17.3,1220,177,691,91
3.7,1221,-200,23.3,1386,232,626,109
2.5,1024,-200,13.8,1111,201,770,110
1.8,938,-200,10.2,987,134,862,111
1.5,869,-200,7.9,897,104,965,106
1.5,846,-200,8.8,930,89,947,104
1.2,838,-200,7.2,868,66,1005,76
1.4,875,-200,8.3,912,85,978,84
1.6,907,-200,9.6,961,105,920,102
1.6,889,-200,9,939,99,920,102
2.2,969,-200,12.4,1064,132,834,124
3,1051,-200,15.3,1157,186,760,147
3,1043,-200,16.1,1181,174,736,138
2.7,1043,-200,14.1,1121,149,736,126
2.1,1007,-200,11.4,1027,114,798,112
1.6,966,-200,9.5,959,92,838,95
1.3,920,-200,7.4,875,75,915,80
1.1,889,-200,6.4,831,74,956,79
0.7,825,-200,4.1,715,35,1062,49
0.4,758,-200,1.9,580,22,1215,36
0.2,735,-200,1.4,533,-200,1338,38
0.2,719,-200,1.2,522,24,1385,40
0.3,757,-200,2.2,596,30,1236,37
0.9,890,-200,6.4,831,93,922,67
3.1,1181,-200,18.5,1255,332,632,106
5,1332,-200,30.2,1556,387,523,134
2.8,1128,-200,14.2,1124,267,717,123
2.8,1128,-200,14.3,1126,269,725,136
2.1,1064,-200,12.6,1069,193,766,109
3.1,1139,-200,18,1240,239,702,144
3,1121,-200,17.1,1214,232,707,154
2.1,1032,-200,13,1083,152,776,126
1.7,1040,-200,11.2,1022,115,826,98
2.2,1076,-200,13.6,1105,169,762,120
3.5,1177,-200,20.5,1310,226,656,145
3.6,1196,-200,20.2,1303,218,654,139
4.1,1204,-200,23.1,1381,245,623,148
4,1166,-200,20.3,1304,236,646,139
1.8,959,-200,9.3,949,104,857,93
1.7,1004,-200,10.5,997,104,813,96
2.4,1050,-200,13.6,1105,144,729,104
1.2,965,-200,8,900,79,864,83
0.8,849,-200,4.6,744,51,1004,66
0.5,809,-200,3.2,666,38,1093,55
0.3,777,-200,2.4,609,-200,1170,46
-200,768,-200,2.1,591,24,1183,37
0.4,768,-200,2.2,597,30,1155,40
1,917,-200,6.7,842,73,934,51
3.8,1252,-200,23.1,1380,305,579,117
3.2,1224,-200,19,1268,295,605,110
3.5,1277,-200,20.1,1300,331,608,136
3.2,1149,-200,16.4,1192,304,672,152
2.3,1091,-200,13,1082,210,746,119
2.2,1053,-200,13.1,1087,163,763,106
2.1,1023,-200,11.8,1042,132,796,101
1.9,1085,-200,12.7,1075,126,767,110
2.4,1116,-200,14.1,1120,150,724,124
2.5,1111,-200,14.4,1131,171,735,137
3.6,1210,-200,20.7,1316,234,645,159
3.9,1250,-200,21.6,1339,251,616,152
4.4,1297,-200,24.2,1408,294,595,166
4.8,1313,-200,21.8,1345,300,603,163
2.5,1146,-200,13,1084,159,713,121
2.8,1199,-200,15.1,1152,176,685,125
3.2,1274,-200,16.6,1197,192,626,120
2.6,1243,-200,12.7,1072,152,675,103
1.5,1054,-200,8.6,923,63,783,64
1,962,-200,5.3,778,35,929,44
0.8,915,-200,3.6,690,-200,983,39.5
0.6,871,-200,2.8,639,21,1062,35
0.6,877,-200,3.1,658,41,1047,46
0.7,893,-200,3.7,696,48,1008,54
1.2,1030,-200,6.9,851,102,824,68
1.5,1059,-200,8.6,926,111,783,77
1.3,1020,-200,7.1,860,93,864,74
1.6,1045,-200,6.6,840,118,879,92
1.5,1029,-200,7.2,866,93,874,83
1.2,959,-200,5,763,56,976,58
1.1,975,-200,5.7,798,51,939,55
1.2,988,-200,6,813,52,927,61
1.3,971,-200,6.1,818,59,942,65
1.4,999,-200,8,899,62,869,74
1.6,989,-200,7.8,889,85,889,89
2.1,1075,-200,11.1,1020,109,802,103
3,1190,-200,15.9,1177,168,695,128
2.8,1172,-200,13.7,1108,166,706,122
3.8,1256,-200,21.6,1340,149,594,125
3.2,1190,-200,16.8,1203,118,658,119
4.1,1249,-200,20.5,1310,160,601,126
2.6,1072,-200,14.1,1120,124,711,100
2,1035,-200,10.9,1011,95,750,94
0.9,839,-200,3.6,690,34,1030,52
0.7,833,-200,3.3,671,-200,1061,58
0.6,804,-200,2.4,616,45,1144,64
0.6,811,-200,3,651,35,1097,46
1.6,1028,-200,8.9,934,141,818,88
2.6,1138,-200,14.8,1141,199,671,104
2.9,1203,-200,16.2,1185,224,649,125
2.8,1193,-200,14.6,1136,245,667,151
1.9,1049,-200,8,898,153,858,113
1.9,1090,-200,9.1,942,145,828,102
2.1,1070,-200,10,976,130,808,108
1.9,1014,-200,9.8,970,95,826,93
1.6,972,-200,8.3,912,88,882,89
1.6,951,-200,7.5,880,89,920,84
2.1,1033,-200,11.7,1038,127,802,111
2.4,983,-200,13.3,1094,149,817,115
2.8,973,-200,14.4,1128,170,813,127
3.4,1083,-200,17.9,1237,210,737,129
3.4,1062,-200,15.9,1176,230,763,140
2.7,1011,-200,14.2,1122,203,808,137
2.6,1054,-200,13.8,1110,174,765,130
2.3,1013,-200,11.7,1038,164,793,121
1.2,870,-200,6.2,823,76,975,79
1,857,-200,5.1,769,52,1006,69
0.9,835,-200,4.5,739,47,1036,61
1.1,844,-200,4.9,759,-200,1005,59.5
-200,763,-200,2.5,622,37,1129,58
0.4,769,-200,2.3,606,41,1171,58
0.9,891,-200,5.5,790,74,960,70
1.8,1037,-200,10.4,993,168,779,104
2.2,1090,-200,12.4,1065,176,728,109
2.4,1117,-200,14,1118,184,716,129
2.3,1109,-200,12.7,1074,187,761,144
1.6,961,-200,9,939,118,912,101
1.4,985,-200,8.5,919,89,918,90
1.4,960,-200,8.2,909,70,910,86
1,927,-200,5.9,806,51,1013,69
1,958,-200,5.6,795,52,1002,65
1.2,1019,-200,6.7,842,70,935,73
1.3,1010,-200,6.1,816,80,955,73
1.5,1030,-200,6.7,844,90,917,78
1.9,1100,-200,9.2,946,111,827,98
1.8,1079,-200,8.2,909,107,861,99
1.4,1036,-200,7,859,73,900,83
1.7,1085,-200,9.5,959,75,827,88
2.7,1214,-200,15.1,1151,144,683,117
2.1,1127,-200,11.7,1041,120,728,97
1.4,1038,-200,9.3,950,71,776,75
1,948,-200,6.4,829,40,873,53
1,953,-200,6.7,844,-200,848,49
0.8,869,-200,4.2,723,34,975,45
0.5,809,-200,2.6,628,27,1127,42
0.6,833,-200,2.8,641,30,1088,44
0.6,857,-200,3.1,661,40,1083,50
1,966,-200,6.2,820,56,913,60
1.6,1063,-200,7.9,894,104,823,100
1.9,1110,-200,10.5,996,121,782,111
1.7,1055,-200,9,941,100,844,110
1.1,939,-200,6.3,828,59,991,74
0.8,816,-200,3.5,684,42,1195,56
0.7,841,-200,4,712,38,1175,50
0.7,842,-200,4.2,722,40,1163,54
1.2,990,-200,6.9,852,70,967,90
1.6,1042,-200,7.9,894,95,916,109
1.6,1089,-200,7.9,893,90,879,110
1.7,1102,-200,10.3,990,90,799,103
2,1095,-200,10.5,996,111,799,120
2.3,1116,-200,12.7,1075,135,761,134
2.4,1105,-200,11.9,1046,146,777,137
1.7,1018,-200,9.3,950,100,830,99
1.2,991,-200,7.9,896,69,857,78
1,923,-200,5,765,47,952,63
0.6,874,-200,3.4,679,26,1049,41
0.5,846,-200,3.2,662,-200,1068,40
0.4,838,-200,2.7,632,24,1079,39
0.5,827,-200,3.1,656,55,1075,60
0.7,901,-200,5,763,47,984,54
3.2,1291,-200,20.7,1316,209,603,119
5.6,1441,-200,32.4,1606,348,503,159
4.6,1363,-200,24.2,1410,337,565,182
3.3,1218,-200,16.6,1198,280,671,183
2.1,1132,-200,13.2,1091,169,751,144
1.9,1103,-200,12.3,1060,126,770,118
1.9,1081,-200,12.1,1053,108,770,106
1.6,1079,-200,11.1,1018,93,793,97
2,1167,-200,13.1,1087,112,741,129
1.8,1148,-200,11.6,1037,110,772,130
2.9,1221,-200,17.7,1230,188,670,163
3.4,1255,-200,19.5,1283,203,640,160
3.1,1245,-200,19.7,1287,167,635,140
2.5,1162,-200,15.1,1151,116,687,115
1.8,1079,-200,11.1,1020,89,754,92
1.8,1091,-200,11.7,1038,103,744,99
2,1085,-200,11.7,1039,100,745,96
1.5,1050,-200,9.7,966,86,780,80
0.8,941,-200,6,814,52,873,65
0.4,891,-200,3.9,705,27,980,46
0.3,842,-200,2.6,624,-200,1080,51.5
-200,850,-200,2.8,639,35,1048,57
0.5,863,-200,3,652,42,1055,54
0.7,956,-200,5.4,784,57,928,62
3.4,1384,-200,23.5,1391,228,552,102
5.7,1502,-200,33.5,1631,350,459,140
3.2,1219,-200,15.5,1163,232,642,121
2.7,1237,-200,15.3,1157,206,663,132
2.1,1181,-200,12.8,1078,159,706,122
2.8,1251,-200,15.2,1154,184,682,148
2.5,1214,-200,15.7,1170,136,681,133
2.1,1166,-200,12.3,1062,124,726,130
2.5,1226,-200,15.3,1157,133,683,141
2.7,1265,-200,17.6,1229,156,636,172
3.7,1317,-200,21.5,1338,200,593,198
3.7,1372,-200,23.2,1382,202,568,181
4.6,1443,-200,25.6,1443,286,543,202
2.6,1200,-200,14.3,1126,141,664,120
2.5,1216,-200,14.4,1130,117,655,115
2.3,1160,-200,12.6,1070,110,687,112
2.2,1194,-200,13.7,1106,100,667,97
2.5,1199,-200,13.1,1087,112,658,100
0.9,965,-200,6.1,818,35,844,47
0.8,961,-200,5.8,801,33,850,44
0.7,901,-200,3.7,697,-200,952,43
0.5,864,-200,2.6,629,28,1052,42
0.7,952,-200,4.6,742,49,892,57
0.9,1009,-200,7.4,875,81,797,61
2.2,1225,-200,15.2,1155,178,643,106
2.8,1245,-200,16.7,1202,223,628,136
2.9,1265,-200,17,1209,290,638,157
2.9,1276,-200,18,1241,274,642,171
3,1232,-200,16.1,1183,278,675,190
2.5,1193,-200,13.4,1097,152,698,155
2.3,1162,-200,14,1117,118,700,139
2.1,1126,-200,13.4,1097,141,723,152
1.9,1089,-200,10.4,993,131,801,143
2.3,1134,-200,12.7,1073,171,747,168
4.2,1388,-200,24.5,1418,287,568,226
4.9,1506,-200,27.8,1499,267,506,207
4.9,1352,-200,23.3,1385,280,563,197
3.5,1217,-200,17.6,1227,224,641,158
2.5,1149,-200,14.5,1132,137,688,124
2.5,1156,-200,14.4,1129,118,688,110
2.6,1180,-200,14.2,1122,128,678,112
2.3,1109,-200,12.9,1080,111,696,102
1.5,1032,-200,9.9,974,66,763,77
0.9,893,-200,5.1,767,36,918,50
0.6,848,-200,2.8,642,-200,1079,45
0.6,850,-200,3.2,664,31,1038,40
0.8,938,-200,5.4,782,75,879,66
0.9,948,-200,6.4,828,66,858,60
2.4,1225,-200,17.1,1214,154,625,85
3.9,1380,-200,22.3,1359,239,538,120
2.9,1276,-200,14.6,1138,246,628,134
2.7,1246,-200,13.3,1093,261,667,149
2,1141,-200,10.5,996,179,767,125
2.4,1199,-200,14.2,1124,159,680,132
2,1156,-200,12.2,1056,111,710,114
1.8,1158,-200,10.1,983,101,751,110
1.9,1163,-200,11.7,1039,118,723,121
1.8,1078,-200,10.9,1009,120,767,127
2.9,1244,-200,17.3,1219,177,651,157
3.3,1236,-200,18,1239,186,637,169
4.4,1364,-200,22.9,1376,235,580,179
3.4,1193,-200,16.5,1196,195,675,149
1.9,1078,-200,10.2,985,106,778,111
2.1,1140,-200,11.6,1035,107,726,112
2.5,1239,-200,14.3,1127,134,648,120
2.3,1171,-200,13.3,1093,117,669,105
1.7,1065,-200,10,977,83,736,90
1.5,1024,-200,7.6,882,77,791,87
0.8,873,-200,3.4,679,-200,1010,70.5
-200,874,-200,3.3,668,37,1043,54
0.5,887,-200,2.9,647,50,1046,61
0.8,993,-200,5.6,795,60,888,63
2.6,1299,-200,17.5,1225,179,620,102
4.9,1529,-200,29,1526,300,476,149
2.9,1320,-200,17,1210,263,595,147
2.8,1226,-200,15.6,1168,265,650,158
1.8,1105,-200,10.1,980,164,777,112
1.8,1160,-200,11.7,1040,122,720,108
1.9,1125,-200,12,1051,125,730,120
1.7,1099,-200,11,1015,125,763,117
1.7,1124,-200,11.2,1021,115,745,119
1.9,1105,-200,10.5,995,162,778,149
2.1,1035,-200,11.8,1043,149,804,174
2.4,1065,-200,13.8,1110,161,757,163
3,1051,-200,17.3,1220,201,739,161
2.8,1073,-200,14.2,1124,209,752,154
1.9,1008,-200,10.7,1004,133,817,124
2.1,1090,-200,12.7,1073,133,745,122
1.8,1048,-200,10.1,983,134,780,119
2.5,1131,-200,13.1,1087,164,705,131
1.1,953,-200,7.4,874,72,854,84
0.7,897,-200,4.6,745,50,968,77
0.7,900,-200,4.7,750,-200,932,59
0.4,828,-200,2.8,639,27,1077,41
0.7,892,-200,4.5,739,74,964,68
0.7,914,-200,5.9,809,69,912,69
1.8,1096,-200,11.1,1017,162,722,101
2.3,1173,-200,14.4,1130,208,648,120
1.9,1125,-200,11.1,1016,168,712,124
1.7,1079,-200,9.9,976,139,781,113
1.3,974,-200,8.8,930,104,872,97
1.5,977,-200,9.9,973,99,865,94
1.3,912,-200,7.4,873,89,946,86
0.8,896,-200,6.1,817,57,992,70
0.8,896,-200,6.2,822,64,1002,70
1.1,956,-200,7.1,862,65,930,82
1.2,970,-200,8,900,79,909,93
1.2,929,-200,7.3,869,80,942,89
1.4,947,-200,8.7,926,81,905,90
1.1,1003,-200,7.5,880,59,864,67
1.5,1045,-200,9,940,90,822,94
2,1125,-200,11.6,1035,122,728,109
1.9,1138,-200,10.2,985,120,742,103
2.2,1217,-200,12.3,1060,126,660,101
1.1,983,-200,6.4,831,68,847,71
1.1,1007,-200,7.2,864,65,816,71
0.8,957,-200,6.1,816,-200,846,60
0.6,914,-200,4.3,725,38,949,49
0.6,886,-200,3.8,702,31,971,43
0.6,899,-200,4,708,40,972,44
0.6,942,-200,4.2,723,36,968,42
1.1,1022,-200,6.1,817,64,835,69
1,1009,-200,6,810,56,859,65
1,1025,-200,5.9,809,56,877,68
1,977,-200,5.4,783,43,939,58
0.8,936,-200,4.9,757,40,1007,52
0.7,884,-200,3.9,703,34,1076,46
0.4,809,-200,3.2,664,28,1185,40
0.5,852,-200,4.1,718,32,1109,47
0.6,872,-200,4,708,39,1106,56
0.7,839,-200,4.8,752,52,1102,64
0.9,854,-200,5.5,788,60,1064,71
1.6,971,-200,9.1,942,104,900,103
1.6,985,-200,9.1,944,102,866,97
1.7,1027,-200,10.1,981,120,817,108
1.3,1012,-200,7.4,876,89,853,87
1.9,1086,-200,9.9,973,121,766,104
1.5,1025,-200,9,939,107,790,93
0.6,848,-200,3.7,692,41,1034,55
0.4,839,-200,3,652,34,1075,49
0.3,814,-200,2.5,618,-200,1097,52.5
-200,816,-200,2.6,624,41,1073,56
0.4,799,-200,2.4,613,38,1120,43
0.7,879,-200,5.6,792,59,906,57
2,1104,-200,14.3,1125,165,697,80
3.9,1344,-200,27.7,1496,287,519,134
3.6,1226,-200,19.1,1272,317,632,157
3.2,1157,-200,15.9,1176,330,691,175
2.2,1059,-200,12.3,1060,204,798,147
2.2,1076,-200,12.2,1057,189,778,140
2.1,1066,-200,11.7,1041,165,783,137
1.8,1049,-200,10.4,994,139,813,123
2,1097,-200,12.7,1074,156,776,138
1.8,1087,-200,11.1,1018,130,791,132
3,1269,-200,19,1269,173,633,174
4.3,1328,-200,24.1,1405,302,584,203
3.5,1200,-200,19.1,1270,239,654,176
2.5,1098,-200,13.6,1105,139,732,125
1.8,1058,-200,10.7,1004,92,776,98
1.9,1081,-200,11.3,1025,104,738,103
1.9,1062,-200,9.6,962,108,776,104
1.9,1078,-200,9.8,971,107,752,105
0.9,917,-200,4.9,761,55,931,75
0.7,881,-200,4.1,718,43,965,60
0.6,865,-200,3.3,671,-200,1012,48
0.4,829,-200,2.2,602,23,1123,36
0.7,913,-200,4.6,743,65,931,66
1.6,1077,-200,10.2,985,165,742,97
3.8,1337,-200,23.3,1386,274,565,115
5.1,1467,-200,31,1575,369,472,145
3.4,1257,-200,17.6,1227,308,611,162
2.6,1227,-200,14.3,1125,227,675,147
2.2,1188,-200,13.7,1108,178,693,132
3.4,1301,-200,19.3,1276,267,631,179
3.4,1201,-200,19.3,1278,278,657,174
1.8,1058,-200,11.3,1026,165,794,132
2,1037,-200,12.7,1075,172,789,151
2.4,1055,-200,15.3,1157,216,762,168
3.8,1179,-200,22.5,1364,306,661,192
4.4,1298,-200,25,1430,317,632,194
3.9,1213,-200,21.1,1327,251,654,155
4,1233,-200,23.8,1398,230,613,159
2.5,1086,-200,14.9,1145,154,737,125
2.1,1056,-200,12.8,1078,137,765,108
2.4,1138,-200,14.3,1128,133,681,110
2.1,1112,-200,14.3,1128,117,675,99
1.6,992,-200,9.2,948,106,773,95
0.8,895,-200,5.1,767,55,931,69
0.5,843,-200,3,655,-200,1046,57
0.4,828,-200,2.6,626,27,1073,45
0.5,894,-200,4,709,46,997,53
1.3,1072,-200,9.9,976,144,740,88
4.1,1425,-200,27.3,1486,392,512,136
4.1,1428,-200,27.9,1500,358,496,141
4,1359,-200,24.5,1415,381,572,189
2.2,1182,-200,14.2,1122,261,730,166
2,1117,-200,11.9,1045,207,761,154
2,1119,-200,13.1,1088,155,741,149
2.2,1068,-200,15.1,1152,193,739,142
2.2,1090,-200,14.1,1120,195,743,130
1.8,1056,-200,11.3,1024,159,792,121
1.8,1098,-200,10.8,1007,120,799,116
3.3,1318,-200,21.5,1339,228,635,177
4.3,1348,-200,21.8,1347,348,599,233
5.3,1502,-200,29.8,1546,337,538,223
4.3,1373,-200,22.5,1364,282,597,184
3.6,1397,-200,21.8,1346,228,580,165
2.4,1286,-200,17.1,1214,168,620,132
2.1,1222,-200,15.4,1161,173,661,122
1.2,1069,-200,10.2,983,87,749,88
0.9,1011,-200,7.2,864,65,809,79
0.6,962,-200,5.8,803,43,853,60
0.5,919,-200,4.2,723,-200,910,60
